date,ntl_mean,ntl_sum
2012-01-19,1.2729786575891806,68866.87239691708
2012-01-20,1.4240767912124552,77041.13032780262
2012-01-21,2.0927938879398513,113218.05654365802
2012-01-22,2.3620338895339157,127783.67138989532
2012-01-23,1.6502518094602043,89276.9726399876
2012-01-24,1.233973437793181,66756.7290111733
2012-01-25,1.4169478942397307,76655.46413047519
2012-01-26,1.7835123349861284,96486.23381041456
2012-01-27,2.472152156483553,133740.95951360374
2012-01-28,1.8842595893581304,101936.5595246855
2012-01-29,1.3651984118131273,73855.86888067838
2012-01-30,1.4542850138776269,78675.36496576574
2012-01-31,1.6263500426826656,87983.91095908952
2012-02-01,1.8914251782457727,102324.21071791806
2012-02-02,1.8338425643637029,99209.04888951196
2012-02-03,1.6375066917741035,88587.47451828723
2012-02-04,1.603059330379134,86723.90671418078
2012-02-05,1.405479220463451,76035.02034785223
2012-02-06,1.3913330120903766,75269.72462107729
2012-02-07,1.4694390677102278,79495.18412405561
2012-02-08,1.2502882438506973,67639.34370407887
2012-02-09,1.1797229281560113,63821.830690312054
2012-02-10,1.1131266036367815,60219.03613014624
2012-02-12,1.8340955164163824,99222.73334260986
2012-02-13,1.5753519935362998,85224.96749832029
2012-02-14,1.388186147629567,75099.48240061195
2012-02-15,1.4571860937727914,78832.31048701424
2012-02-16,1.641945967847943,88827.63491460588
2012-02-17,2.273242356790256,122980.13825999608
2012-02-20,1.3280242005902096,71844.78122772975
2012-02-21,1.5102893363787844,81705.14280875586
2012-02-22,2.1669509272692826,117229.87821434092
2012-02-23,2.550591355116706,137984.44172045868
2012-02-24,1.7380956257619637,94029.23525809648
2012-02-25,1.4227691182115134,76970.38652612467
2012-02-26,1.5280147379572009,82664.0693087466
2012-02-27,1.6822791039504397,91009.61724461484
2012-02-28,2.4586184373947666,133008.79884461948
2012-02-29,1.8168415562776246,98289.31135306321
2012-03-01,1.4736633363016782,79723.7128305845
2012-03-02,1.3744817626322896,74358.08887664424
2012-03-03,1.4569700364029081,78820.62199936093
2012-03-04,1.7848935030334145,96560.95362060469
2012-03-05,1.587840670592519,85900.59243838469
